"Final.Status","ID","Year","ACT","GPA","Distance.Mhd","Zip.Median.Income","Zip.Population","Zip.Pct.White","Zip.Alumni.Density","Music.Interest","Athletic.Interest","Legacy.Relationship","Gender.Indicator","Ethnicity.Indicator","Lutheran.Indicator","Religious.Indicator","App","Deposited","FAFSA.Received","CREDO.Invited","CREDO.Accepted","Regular.Visits.by.Date","Performance.Scholarship.Event","Academic.Scholarship.Event","Other.Admits.Density"
0,"App ID-228016","2016 Fall",23,3.11,198.61,66.518,2.104,94.2,0.14,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0.0475285171102662
1,"App ID-228017","2016 Fall",26,3.57,122.79,58.31,7.646,99.12,0.93,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0.170023541721161
0,"App ID-228018","2016 Fall",23,3.53,258.13,52.069,18.423,93.92,0.2,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0.0162839928350432
0,"App ID-228019","2016 Fall",31,4,1006.4,43.45,0.774,95.29,0.06,0,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0.258397932816538
0,"App ID-228025","2016 Fall",21,3.82,123.4,55.417,0.116,100,0.2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.862068965517241
0,"App ID-228084","2016 Fall",29,3.99,149.24,75.05,17.801,93.89,0.53,0,0,1,0,0,1,1,1,1,1,1,0,1,0,1,0.0674119431492613
0,"App ID-228085","2016 Fall",21,3.64,58.62,53.655,8.032,94.12,0.29,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0871513944223107
0,"App ID-228086","2016 Fall",21,2.51,224.95,108.128,26.181,84.83,0.45,0,0,0,1,1,0,1,1,0,1,0,0,2,0,0,0.0267369466406936
1,"App ID-228140","2016 Fall",27,3.95,181.05,69.136,23.214,96.99,0.36,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0.0603084345653485
0,"App ID-228312","2016 Fall",22,3.3,284.04,70.886,23.643,92.52,0.15,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0.0719028888042973
0,"App ID-228323","2016 Fall",21,3.39,689.09,57.602,19.259,96.73,0.08,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.015577132769095
0,"App ID-228324","2016 Fall",26,3.94,219.02,95.024,28.035,83.01,0.27,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0.0249687890137328
0,"App ID-228331","2016 Fall",23,2.98,1233.37,52.371,33.92,76.27,0.06,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0.00294811320754717
0,"App ID-228336","2016 Fall",18,3.12,620.24,62.473,3.622,92.02,0.01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0276090557702927
