Application ID,Award Status,Total Discount Rate,Total Institutional Gift,Gross Need,Cobber Edge Award,Priority Cobber Award,Presidential Total,Regents Scholarship Total,Speech Debate Scholarship Total,Theatre Performance Total,Visual Arts Award Total,Music Performance Total
App ID-168257,No Award,0,,45994,0,0,0,0,0,0,0,0
App ID-164410,No Award,0,,14377,0,0,0,0,0,0,0,0
App ID-156320,No Award,0,,33082,0,0,0,0,0,0,0,0
App ID-145461,No Award,0,,41591,0,0,0,0,0,0,0,0
App ID-124349,No Award,0,,0,0,0,0,0,0,0,0,0
App ID-162456,No Award,0,,11082,0,0,0,0,0,0,0,0
App ID-131195,No Award,0,,45706,0,0,0,0,0,0,0,0
App ID-192462,Award Complete,27.37,9269,38069,0,0,0,0,0,0,0,0
App ID-186966,No Award,0,,40875,0,0,0,0,0,0,0,0
App ID-162337,No Award,0,,0,0,0,0,0,0,0,0,0
App ID-161516,No Award,0,,36354,0,0,0,0,0,0,0,0
App ID-173962,No Award,0,,38944,0,0,0,0,0,0,0,0
App ID-161507,No Award,0,,0,0,0,0,0,0,0,0,0
App ID-186356,No Award,0,,2279,0,0,0,0,0,0,0,0
App ID-164065,No Award,0,,28202,0,0,0,0,0,0,0,0
App ID-161512,No Award,0,,31522,0,0,0,0,0,0,0,0
App ID-161515,No Award,0,,36289,0,0,0,0,0,0,0,0
App ID-164250,No Award,0,,6170,0,0,0,0,0,0,0,0
App ID-172010,No Award,0,,0,0,0,0,0,0,0,0,0
App ID-186651,No Award,0,,46054,0,0,0,0,0,0,0,0
App ID-191178,No Award,0,,35556,0,0,0,0,0,0,0,0
App ID-157796,No Award,0,,,0,0,0,0,0,0,0,0
App ID-160578,No Award,0,,25611,0,0,0,0,0,0,0,0
App ID-161781,No Award,0,,29462,0,0,0,0,0,0,0,0
App ID-177851,No Award,0,,46484,0,0,0,0,0,0,0,0
App ID-157674,No Award,0,,36688,0,0,0,0,0,0,0,0
App ID-185330,No Award,0,,42725,0,0,0,0,0,0,0,0
App ID-161511,No Award,0,,,0,0,0,0,0,0,0,0
App ID-186626,No Award,0,,23761,0,0,0,0,0,0,0,0
App ID-186569,No Award,0,,15047,0,0,0,0,0,0,0,0
App ID-178322,No Award,0,,0,0,0,0,0,0,0,0,0
App ID-171542,No Award,0,,41448,0,0,0,0,0,0,0,0
App ID-154884,No Award,0,,15613,0,0,0,0,0,0,0,0
App ID-161513,No Award,0,,7650,0,0,0,0,0,0,0,0
App ID-156031,No Award,0,,2178,0,0,0,0,0,0,0,0
App ID-161290,No Award,0,,31726,0,0,0,0,0,0,0,0
App ID-156514,No Award,0,,46054,0,0,0,0,0,0,0,0
App ID-127027,No Award,0,,36904,0,0,0,0,0,0,0,0
App ID-142897,No Award,0,,0,0,0,0,0,0,0,0,0
App ID-154917,No Award,0,,23024,0,0,0,0,0,0,0,0
App ID-154871,No Award,0,,39352,0,0,0,0,0,0,0,0
App ID-149907,No Award,0,,32825,0,0,0,0,0,0,0,0
App ID-127744,No Award,0,,24334,0,0,0,0,0,0,0,0
App ID-149832,No Award,0,,9153.5,0,0,0,0,0,0,0,0
App ID-124292,No Award,0,,21034,0,0,0,0,0,0,0,0
App ID-131476,No Award,0,,22687,0,0,0,0,0,0,0,0
App ID-134696,No Award,0,,9278,0,0,0,0,0,0,0,0
