"Final.Status","ID","Year","ACT","GPA","HS.Percentile","Royal15","Cost.of.Attendance","Total.Gift","Total.Institutional.Gift","Gross.Need","Distance.Mhd","Zip.Median.Income","Zip.Population","Zip.Pct.White","Zip.Alumni.Pop","Zip.Alumni.Density","HS.Size","Music.Interest","Athletic.Interest","Legacy.Relationship","Gender.Indicator","Ethnicity.Indicator","Lutheran.Indicator","Religious.Indicator"
1,"App ID-252413","2016 Fall",25,3.13,38,1,44668,0,0,0,3.65,66172,31429,0.9349,607,0.0193,NA,0,0,0,0,0,0,0
0,"App ID-252414","2016 Fall",23,3.19,25,1,NA,0,0,0,722.85,53000,2014,0.9722,2,0.001,NA,0,0,0,1,0,0,1
1,"App ID-252415","2016 Fall",21,3.21,47,1,44668,25345,21580,46088,431.26,46504,11560,0.9529,8,7e-04,NA,0,0,0,0,0,0,0
0,"App ID-252420","2016 Fall",31,4.1,97,1,44668,16000,16000,2387,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,1
0,"App ID-252429","2016 Fall",18,2.98,35,1,NA,0,0,0,0.64,53139,41737,0.9084,951,0.0228,1356,0,0,0,0,0,1,1
0,"App ID-252430","2016 Fall",25,3.72,0,1,44668,25696,16000,47758,92.37,47350,2383,0.9622,13,0.0055,136,1,0,0,0,0,0,0
1,"App ID-252431","2016 Fall",31,3.97,98,1,44668,0,0,0,72.79,52292,1242,0.9791,12,0.0097,405,0,0,0,1,0,0,0
0,"App ID-252435","2016 Fall",22,2.7,38,1,NA,0,0,0,228.32,35710,25489,0.7462,7,3e-04,NA,0,0,0,0,1,0,1
0,"App ID-252454","2016 Fall",25,3.53,89,1,44668,16000,16000,18052,385.77,48283,29838,0.7782,NA,NA,NA,0,0,0,0,0,0,1
0,"App ID-252468","2016 Fall",24,3.79,85,1,NA,0,0,0,567.55,50928,47787,0.9359,47,0.001,NA,0,0,0,0,1,0,0
0,"App ID-252471","2016 Fall",25,2.83,0,1,NA,0,0,0,215.07,61448,39628,0.8198,139,0.0035,NA,0,0,0,0,0,0,1
0,"App ID-252474","2016 Fall",0,3.99,92,1,44668,25200,25200,40502,609.05,50938,3339,0.9751,4,0.0012,NA,0,0,0,1,0,0,1
0,"App ID-252475","2016 Fall",23,3.65,78,1,44668,21110,21110,22226,215.07,61448,39628,0.8198,139,0.0035,1840,0,0,0,0,0,0,1
0,"App ID-252478","2016 Fall",32,3.54,72,1,44668,32471,16720,47758,337.15,60889,7489,0.9872,6,8e-04,475,0,0,0,0,0,0,0
0,"App ID-252481","2016 Fall",18,2.97,64,1,44668,0,0,41968,218.47,45660,42928,0.5512,73,0.0017,NA,0,0,0,0,1,0,0
0,"App ID-252482","2016 Fall",21,2.67,25,1,NA,0,0,0,6.17,69383,28728,0.9095,310,0.0108,NA,0,0,0,0,0,1,1
0,"App ID-253178","2016 Fall",28,4,91,1,NA,0,0,0,73.7,49018,36448,0.906,163,0.0045,NA,0,0,0,1,0,0,0
0,"App ID-253182","2016 Fall",20,2.74,0,1,NA,0,0,0,209.62,48291,27156,0.6644,39,0.0014,NA,0,0,0,1,0,0,0
0,"App ID-253189","2016 Fall",20,3.22,46,1,NA,0,0,0,181.05,69136,23214,0.9699,84,0.0036,1626,0,0,0,1,0,0,1
0,"App ID-253191","2016 Fall",18,2.87,39,1,44668,31261,15510,47758,205.9,42771,27137,0.5085,19,7e-04,1823,0,0,0,0,1,0,0
0,"App ID-253192","2016 Fall",21,3.02,54,1,44668,0,0,44395,2.52,42616,48506,0.8627,521,0.0107,6335,0,0,0,0,1,0,1
0,"App ID-253195","2016 Fall",23,2.21,24,1,44668,0,0,47758,99.81,47772,33463,0.856,122,0.0036,NA,0,0,0,1,0,0,0
0,"App ID-253196","2016 Fall",22,3.63,83,1,NA,0,0,0,567.55,50928,47787,0.9359,47,0.001,NA,0,0,0,1,0,0,1
0,"App ID-253262","2016 Fall",26,3.79,82,1,NA,0,0,0,201.53,47188,310,1,NA,NA,378,0,0,0,0,0,0,1
