"Year","Royal15","Summer","Countdown","Number.Campus.Visits.y","Award.Status","Total.Gift","Gross.Need","Zip.Median.Income","Zip.Population","Zip.Pct.White","Zip.Alumni.Pop","Zip.Alumni.Density","HS.Size","Music.Interest","Athletic.Interest","Legacy.Relationship","Gender.Indicator","Final.Status","Made.Deposit","Ethnicity.Indicator","Lutheran.Indicator","Religious.Indicator","FAFSA","Zip.Admits.TY","Zip.Admits.TY.Pct","App.Before.Nov","ACT.Low","ACT.High","GPA.Low","GPA.High","HSP.Low","HSP.High","Distance.Low","Distance.High"
"2014 Fall",0,0,0,1,"1",26.08,36.433,46.796,20.242,96.1,61,30,947,1,0,0,1,1,1,0,0,0,1,5,"2.47011164904654",1,0,0,0,0,1,0,0,0
"2014 Fall",0,0,0,1,"0",0,0,70.281,29.612,94.69,35,12,1452,1,0,0,0,0,0,0,0,0,0,8,"2.70160745643658",0,1,0,0,0,0,0,0,0
"2014 Fall",0,0,0,2,"1",17.5,15.615,56.719,2.226,98.2,3,13,NA,1,0,0,0,0,1,0,0,0,1,2,"8.98472596585804",0,0,0,0,1,0,0,0,0
"2014 Fall",0,1,0,2,"1",30.72,43.765,55.396,5.635,98.86,22,39,NA,0,0,0,0,1,1,0,0,0,1,8,"14.1969831410825",0,0,0,0,1,1,0,0,0
"2014 Fall",0,0,0,1,"1",18.99,19.992,57.604,3.219,96.99,17,53,230,0,0,0,0,0,0,0,0,0,1,4,"12.426219322771",0,0,0,0,1,0,0,0,0
"2014 Fall",0,0,0,0,"0",0,0,42.126,14.899,62.6,NA,NA,NA,1,1,0,0,0,0,0,1,1,0,1,"0.67118598563662",0,0,0,0,0,0,0,0,1
"2014 Fall",0,0,0,1,"0",0,0,51.731,3.111,95.76,36,116,130,0,0,0,1,0,0,0,0,0,0,3,"9.64320154291225",0,1,0,0,0,0,0,1,0
"2014 Fall",0,0,0,0,"0",0,0,76.161,19.01,93.17,41,22,1087,0,0,0,0,0,0,0,0,0,0,5,"2.63019463440295",1,1,0,0,0,0,0,0,0
"2014 Fall",0,0,0,0,"0",0,0,77.425,28.439,92.75,142,50,NA,0,0,0,0,0,0,0,0,1,0,14,"4.92281725799079",1,1,0,0,0,0,0,0,0
"2014 Fall",0,1,0,1,"1",23.826,44.224,47.368,2.816,96.73,2,7,NA,0,0,0,0,1,1,0,0,0,1,1,"3.55113636363636",0,0,0,0,0,0,0,0,0
"2014 Fall",0,0,0,2,"1",26.35,31.437,50.02,16.754,83.14,20,12,NA,0,1,0,1,1,1,0,0,0,1,2,"1.1937447773666",0,1,0,0,0,1,0,0,0
"2014 Fall",0,0,0,1,"0",0,0,58.31,7.646,99.12,71,93,NA,0,0,0,1,0,0,0,0,0,0,6,"7.84724038713053",0,0,0,0,0,0,0,0,0
"2014 Fall",0,1,0,3,"1",0,0.649,49.515,17.287,94.98,47,27,2185,0,0,0,0,1,1,0,0,0,1,6,"3.47081622028114",1,0,0,0,1,0,1,0,0
"2014 Fall",0,1,0,1,"1",25.884,44.474,92.392,46.901,93.83,111,24,2157,0,0,0,1,1,1,0,0,0,1,16,"3.41144112065841",0,1,0,1,0,1,0,0,0
"2014 Fall",0,0,0,1,"1",19.02,33.619,53.636,12.141,97.95,14,12,494,0,0,0,0,0,0,0,0,0,1,2,"1.64731076517585",0,1,0,0,0,0,0,0,0
"2014 Fall",0,0,0,1,"1",35.356,41.032,100.777,21.21,77.43,112,53,2070,0,1,0,0,0,0,0,0,0,1,5,"2.35737859500236",0,1,0,0,0,0,0,0,0
"2014 Fall",0,0,0,0,"1",32.43,40.851,55.045,3.165,96.4,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,2,"6.31911532385466",0,1,0,0,0,0,0,0,1
"2014 Fall",0,1,0,1,"1",20.43,32.963,47.855,12.691,93.44,61,48,NA,0,1,0,1,1,1,0,0,0,1,12,"9.45551965960129",0,1,0,0,0,1,0,0,0
"2014 Fall",0,0,0,0,"0",0,0,64.179,28.585,80.73,93,33,1789,0,0,0,0,0,0,0,0,0,0,9,"3.14850446038132",0,0,0,0,0,0,0,0,0
"2014 Fall",0,1,0,1,"1",13.5,9.282,95.024,28.035,83.01,77,27,2154,0,0,0,0,0,1,0,0,0,1,6,"2.14018191546281",0,0,0,0,0,0,0,0,0
"2014 Fall",1,0,0,0,"0",0,40.932,49.628,15.523,88.47,38,24,NA,0,0,0,1,0,0,0,0,1,1,5,"3.22102686336404",0,1,0,0,0,0,0,0,0
"2014 Fall",0,0,0,1,"0",0,19.7,53.723,9.681,97.21,50,52,NA,0,0,0,1,0,0,0,0,0,1,8,"8.26360913128809",0,1,0,0,0,0,0,0,0
"2014 Fall",0,0,0,0,"1",19.77,29.082,92.392,46.901,93.83,111,24,1614,0,0,0,1,0,0,0,0,0,1,16,"3.41144112065841",0,1,0,0,0,0,0,0,0
"2014 Fall",0,1,0,2,"1",29.16,42.871,77.639,26.471,91.28,5,2,NA,0,0,0,1,1,1,0,0,0,1,1,"0.377771901325979",0,0,0,0,0,1,0,0,1
"2014 Fall",0,1,0,2,"1",20.864,44.444,53.818,7.935,94.42,29,37,439,0,1,0,1,1,1,0,0,0,1,11,"13.8626339004411",0,1,0,0,0,1,0,0,0
"2014 Fall",0,0,0,0,"1",19.6,24.504,42.54,2.454,93.77,7,29,NA,0,1,0,1,0,0,0,0,0,1,1,"4.07497962510187",0,1,0,0,0,0,0,0,0
"2015 Fall",0,0,0,1,"0",0,0,61.625,1.202,89.68,4,33,215,0,0,0,0,0,0,0,0,0,0,3,"24.9584026622296",0,0,0,0,1,0,0,0,0
"2015 Fall",0,0,0,1,"0",0,0,61.625,1.202,89.68,4,33,215,0,0,0,0,0,0,0,0,1,0,3,"24.9584026622296",0,1,0,0,0,1,0,0,0
"2014 Fall",0,0,0,0,"0",0,0,77.425,28.439,92.75,142,50,NA,0,0,0,0,0,0,0,0,0,0,14,"4.92281725799079",0,1,0,0,0,0,0,0,0
"2014 Fall",0,0,0,0,"0",0,0,46.354,47.04,90.93,56,12,784,0,0,0,0,0,0,0,0,0,0,8,"1.70068027210884",1,1,0,0,0,0,0,0,0
"2014 Fall",0,0,0,0,"0",0,0,51.15,22.777,73.06,41,18,NA,0,0,0,0,0,0,1,0,0,0,4,"1.7561575273302",0,1,0,0,0,0,0,0,0
"2014 Fall",0,0,0,0,"0",0,0,45.935,12.852,73.23,24,19,NA,0,0,0,0,0,0,0,0,0,0,1,"0.778089013383131",0,1,0,0,0,0,0,0,0
"2014 Fall",0,0,0,3,"1",23.75,29.48,65.815,13.531,89.24,25,18,NA,1,0,0,1,0,0,0,0,0,1,5,"3.6952183874067",0,0,1,0,1,0,0,0,0
"2014 Fall",1,0,0,0,"1",19.15,33.032,73.1,32.771,54.58,50,15,NA,0,0,0,0,0,0,1,0,1,1,4,"1.22059137652192",0,1,0,0,0,0,0,0,0
"2014 Fall",0,0,0,1,"1",13,3.097,72.725,16.022,97.01,28,17,546,0,0,0,0,0,0,0,0,0,1,6,"3.7448508301086",0,1,0,0,0,0,0,0,0
"2014 Fall",0,0,0,0,"1",18.56,38.973,42.5,9.28,96.58,12,13,NA,0,1,0,0,0,0,0,0,0,1,2,"2.1551724137931",0,1,0,0,0,0,0,0,1
"2014 Fall",0,0,0,0,"1",25.31,44.904,42.5,9.28,96.58,12,13,NA,0,1,0,0,0,0,0,0,0,1,2,"2.1551724137931",0,1,0,0,0,0,0,0,1
"2014 Fall",0,0,0,1,"0",0,0,46.132,22.99,86.33,137,60,NA,0,0,0,1,0,0,0,0,0,0,19,"8.26446280991735",0,1,0,1,0,0,0,0,0
"2014 Fall",0,1,0,1,"1",21.25,25.925,74.441,3.657,94.67,3,8,588,1,1,0,0,1,1,0,0,0,1,4,"10.9379272627837",0,1,0,0,1,1,0,0,0
"2014 Fall",0,0,0,0,"1",5,7.573,66.172,31.429,93.49,607,193,NA,0,0,0,1,0,0,0,0,0,1,42,"13.3634541347163",0,1,0,0,0,0,0,1,0
"2014 Fall",0,0,0,0,"0",0,0,58.094,7.55,91.92,6,8,NA,0,0,0,1,0,0,0,0,0,0,1,"1.32450331125828",0,1,0,0,0,0,0,0,1
"2014 Fall",0,0,0,0,"0",0,0,57.602,19.259,96.73,15,8,NA,1,0,0,0,0,0,0,0,0,0,4,"2.07695103587933",0,0,0,0,1,0,0,0,1
"2014 Fall",0,0,0,0,"0",0,0,65.109,25.38,94.67,19,7,NA,0,0,0,1,0,0,0,0,0,0,3,"1.18203309692671",0,1,0,1,0,0,0,0,1
"2014 Fall",0,1,0,2,"1",17,0,38.415,6.259,94.15,NA,NA,NA,1,0,0,1,1,1,0,0,0,1,1,"1.5976993129893",0,0,0,0,0,1,0,0,1
"2014 Fall",0,0,0,0,"1",43.66,41.784,39.265,1.609,93.97,3,19,NA,0,0,0,0,0,0,0,0,0,1,1,"6.21504039776258",0,0,1,0,1,0,0,0,1
"2014 Fall",0,0,0,0,"0",0,0,84.662,21.393,92.31,36,17,2017,0,0,0,0,0,0,0,0,0,0,2,"0.934885242836442",0,1,0,0,0,0,0,0,0
"2014 Fall",0,0,0,1,"0",0,0,53.139,41.737,90.84,951,228,1356,0,0,0,1,0,0,0,0,0,0,61,"14.6153293241009",0,1,0,0,0,0,0,1,0
"2014 Fall",0,0,0,1,"0",0,0,49.515,17.287,94.98,47,27,2185,0,0,0,1,0,0,0,0,0,0,6,"3.47081622028114",0,1,0,0,0,0,0,0,0
"2014 Fall",0,1,0,1,"1",17.06,29.414,105.997,17.056,96.98,68,40,1383,1,0,0,0,1,1,0,0,0,1,4,"2.34521575984991",0,1,0,1,0,1,0,0,0
"2014 Fall",0,0,0,0,"0",0,41.006,59.304,33.945,85.67,51,15,2120,0,0,0,0,0,0,0,0,0,1,3,"0.883782589482987",0,1,0,1,0,0,0,0,0
"2014 Fall",0,0,0,1,"1",16.5,13.214,45.163,49.792,95.37,44,9,NA,0,0,0,0,1,1,0,0,0,1,3,"0.602506426735218",0,0,0,0,0,1,0,0,1
"2015 Fall",0,0,0,1,"1",22.046,33.386,56.971,16.41,95.89,24,15,925,0,1,0,1,0,0,0,0,0,1,7,"4.26569165143205",0,1,0,1,0,1,0,0,0
"2014 Fall",0,0,0,1,"0",0,0,66.172,31.429,93.49,607,193,1356,0,0,0,1,1,1,0,0,0,0,42,"13.3634541347163",0,0,0,0,0,0,0,1,0
"2014 Fall",0,1,0,2,"1",20.42,32.947,39.835,4.806,97,30,62,372,0,1,0,1,1,1,0,0,0,1,5,"10.4036620890553",0,0,0,0,0,1,0,0,0
"2014 Fall",0,1,0,2,"0",0,44.474,53.139,41.737,90.84,951,228,1356,0,0,0,0,1,1,0,0,0,1,61,"14.6153293241009",0,0,0,0,0,1,0,1,0
"2014 Fall",0,0,0,0,"1",12.57,16.769,68.239,24.933,88.2,107,43,1173,0,1,0,1,0,0,0,0,0,1,5,"2.00537440340111",0,1,0,0,0,0,0,0,0
"2014 Fall",0,0,0,1,"0",0,34.813,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,1,1,NA,1,0,0,0,0,0,0,0,0
"2014 Fall",0,1,0,1,"1",26.84,43.543,46.354,47.04,90.93,56,12,784,0,0,0,1,1,1,0,0,1,1,8,"1.70068027210884",0,1,0,1,0,1,0,0,0
"2014 Fall",0,0,0,1,"0",0,0,53.139,41.737,90.84,951,228,1356,0,0,0,0,0,0,0,1,1,0,61,"14.6153293241009",0,1,0,0,0,0,0,1,0
"2014 Fall",0,1,0,1,"1",22.216,35.687,53.139,41.737,90.84,951,228,1356,1,0,0,1,1,1,0,1,1,1,61,"14.6153293241009",0,0,0,0,0,1,0,1,0
"2014 Fall",0,0,0,1,"1",7.5,8.71,64.278,10.099,93.77,23,23,NA,0,0,0,0,0,0,0,0,0,1,5,"4.95098524606397",0,1,0,0,0,0,0,0,0
"2014 Fall",0,1,0,2,"1",21,19.741,70.738,28.482,88.88,NA,NA,NA,1,0,0,0,1,1,0,0,1,1,1,"0.351098939681202",1,0,0,0,1,1,0,0,1
"2014 Fall",0,0,0,3,"1",14.54,18.176,61.131,4.825,98.38,36,75,446,0,0,0,1,0,0,0,0,0,1,5,"10.3626943005181",0,1,0,0,0,0,0,0,0
"2014 Fall",0,0,0,2,"0",0,0,49.018,36.448,90.6,163,45,NA,0,0,0,1,0,0,0,0,0,0,20,"5.48726953467954",0,1,0,0,0,0,0,1,0
"2014 Fall",0,0,0,1,"1",23.87,38.567,59.358,7.276,97.36,8,11,436,0,0,0,1,0,0,0,0,0,1,6,"8.24628916987356",0,1,0,0,0,0,0,0,0
"2014 Fall",0,1,0,1,"1",24.27,34.685,58.061,41.763,91.48,37,9,NA,0,0,0,0,1,1,0,0,0,1,2,"0.478892799846754",1,1,0,0,0,0,0,0,0
"2014 Fall",0,0,0,0,"0",0,0,88.246,33.316,91.12,67,20,NA,0,0,0,1,0,0,0,0,0,0,10,"3.00156081162204",0,1,0,1,0,0,0,0,0
"2014 Fall",0,0,0,1,"1",25.154,44.474,46.354,47.04,90.93,56,12,784,0,0,0,1,0,0,0,0,0,1,8,"1.70068027210884",0,0,0,1,0,0,0,0,0
"2014 Fall",0,0,0,0,"0",0,0,51.143,3.293,97.36,5,15,NA,0,0,0,0,0,0,0,0,0,0,4,"12.1469784391133",0,1,0,0,0,0,0,0,0
"2014 Fall",0,0,0,0,"1",13,11.675,47.855,12.691,93.44,61,48,NA,0,0,0,1,0,0,0,0,0,1,12,"9.45551965960129",0,1,0,0,1,0,0,0,0
"2014 Fall",0,1,0,0,"1",13.5,0,70.106,38.611,92.19,74,19,1149,0,1,0,1,1,1,0,0,0,1,6,"1.55396130636347",0,0,0,0,0,1,0,0,0
"2014 Fall",0,0,0,1,"0",0,0,78.919,35.273,93.43,89,25,NA,1,0,0,0,0,0,0,0,0,0,3,"0.850508887817878",0,0,0,1,0,0,0,0,0
"2014 Fall",0,0,0,1,"1",22.99,32.844,44.007,2.965,96.36,29,98,172,0,0,0,0,0,1,0,0,0,1,4,"13.4907251264755",1,0,0,0,1,0,0,1,0
"2014 Fall",0,0,0,1,"0",0,0,65.126,53.242,81.89,111,21,NA,0,0,0,0,0,0,0,0,0,0,3,"0.563464933698959",0,0,0,0,0,0,0,0,0
"2014 Fall",0,1,0,2,"1",18.75,27.124,49.545,1.76,98.69,9,51,NA,0,0,0,1,1,1,0,0,0,1,2,"11.3636363636364",0,0,0,0,0,1,0,0,0
"2014 Fall",0,0,0,0,"0",0,44.474,90.286,9.991,94.4,9,9,NA,0,0,0,0,0,0,1,0,0,1,3,"3.00270243218897",0,1,0,0,0,0,0,0,0
"2014 Fall",0,0,0,1,"1",23.481,34.295,51.143,3.293,97.36,5,15,NA,0,0,0,0,0,0,0,0,0,1,4,"12.1469784391133",0,1,0,0,0,0,1,0,0
"2014 Fall",0,0,0,0,"0",0,0,47.222,1.627,96.68,NA,NA,NA,0,1,0,1,0,0,0,0,0,0,1,"6.14628149969269",0,1,0,0,0,0,0,0,1
"2014 Fall",0,1,0,0,"1",14.91,10.762,47.855,12.691,93.44,61,48,NA,0,0,0,1,0,1,0,0,0,1,12,"9.45551965960129",1,1,0,0,0,1,0,0,0
"2014 Fall",0,0,0,0,"0",0,0,75.05,17.801,93.89,94,53,NA,0,0,0,1,0,0,0,0,0,0,11,"6.17942812201562",0,1,0,1,0,0,0,0,0
"2014 Fall",0,0,0,1,"1",23.75,32.125,53.139,41.737,90.84,951,228,223,0,0,0,1,0,0,0,0,0,1,61,"14.6153293241009",0,0,0,0,1,0,0,1,0
"2014 Fall",0,1,0,2,"1",21.25,15.202,56.971,16.41,95.89,24,15,925,0,0,0,0,1,1,0,0,0,1,5,"3.04692260816575",0,1,0,0,1,0,1,0,0
"2014 Fall",0,0,0,0,"1",21.25,26.594,47.855,12.691,93.44,61,48,NA,0,0,0,1,0,0,0,0,0,1,12,"9.45551965960129",1,0,0,0,0,0,0,0,0
"2014 Fall",0,0,0,0,"1",15.5,0,92.392,46.901,93.83,111,24,1614,0,0,0,0,0,0,0,0,0,1,16,"3.41144112065841",0,0,0,0,0,0,0,0,0
"2014 Fall",0,0,0,0,"0",0,0,75.287,18.758,95.2,37,20,857,0,0,0,1,0,0,0,0,0,0,7,"3.73174112378718",0,1,0,0,0,0,0,0,0
"2014 Fall",0,0,0,1,"1",20.33,31.55,64.709,44.095,83.63,106,24,1671,0,0,0,0,0,0,1,0,0,1,5,"1.13391540991042",0,0,0,0,0,0,0,0,0
"2014 Fall",0,0,0,2,"0",0,0,75.287,18.758,95.2,37,20,498,0,0,0,0,0,0,0,0,0,0,7,"3.73174112378718",0,1,0,0,0,1,0,0,0
"2014 Fall",0,0,0,0,"0",0,0,52.693,32.895,84.9,64,19,NA,0,0,0,0,0,0,0,0,0,0,9,"2.7359781121751",0,1,0,0,0,0,0,0,0
"2014 Fall",0,0,0,1,"1",22.5,32.061,98.596,31.003,91.54,80,26,2154,1,0,0,0,0,0,0,0,0,1,4,"1.29019772280102",0,0,0,0,0,0,0,0,0
"2014 Fall",0,1,0,3,"1",18.61,34.693,92.392,46.901,93.83,111,24,1614,0,0,0,0,1,1,0,0,1,1,16,"3.41144112065841",0,1,0,0,0,1,0,0,0
"2014 Fall",0,1,0,1,"1",16,0,70.573,16.947,95.26,37,22,1345,1,0,0,0,1,1,0,0,1,1,5,"2.95037469758659",0,0,0,0,0,0,0,0,0
"2014 Fall",0,1,0,1,"1",13.9,18.541,79.342,18.611,85.02,NA,NA,NA,0,0,0,1,1,1,0,0,0,1,1,"0.537316640696362",0,1,0,0,0,1,0,0,1
"2014 Fall",0,0,0,1,"0",0,0,95.024,28.035,83.01,77,27,2154,0,0,0,0,0,0,0,0,0,0,6,"2.14018191546281",0,1,0,0,0,0,0,0,0
"2014 Fall",0,0,0,0,"1",22.92,32.757,58.392,26.739,94.06,47,18,NA,0,0,0,1,0,0,0,0,0,1,5,"1.86992782078612",0,0,0,0,1,0,0,0,0
"2014 Fall",0,0,0,0,"0",0,0,78.141,25.954,91.45,86,33,NA,0,0,0,1,0,0,0,0,0,0,7,"2.6970794482546",0,0,0,0,0,0,0,0,0
"2014 Fall",0,0,0,0,"0",0,0,50,16.616,98.3,15,9,NA,1,0,0,1,0,0,0,0,0,0,3,"1.80548868560424",0,0,0,0,0,0,0,0,0
"2014 Fall",0,0,0,1,"1",20,0,76.85,27.56,88.72,72,26,NA,1,0,0,0,0,0,0,0,0,1,2,"0.725689404934688",0,0,0,0,1,0,0,0,0
"2014 Fall",0,1,0,1,"1",28.586,43.092,47.772,33.463,85.6,122,36,1145,1,0,0,0,1,1,0,0,1,1,8,"2.39070017631414",0,0,0,0,1,1,0,0,0
"2014 Fall",0,0,0,1,"0",0,43.048,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,1,0,0,1,2,NA,0,1,0,1,0,0,0,0,1
"2014 Fall",0,1,0,1,"1",25.69,44.46,98.596,31.003,91.54,80,26,2154,0,0,0,0,1,1,1,0,0,1,4,"1.29019772280102",0,0,0,0,0,1,0,0,0
"2014 Fall",0,1,0,2,"1",20,28.626,47.375,1.151,98.7,3,26,NA,0,1,0,0,1,1,0,0,0,1,1,"8.68809730668984",0,0,0,0,1,0,0,0,0
"2014 Fall",0,1,0,2,"1",5.5,8.725,54.126,28.947,90.82,82,28,1442,0,0,0,1,1,1,0,0,0,1,3,"1.03637682661416",0,1,0,0,0,1,0,0,0
"2015 Fall",0,0,0,0,"0",0,43.023,40.172,0.994,98.99,NA,NA,NA,1,0,0,0,0,0,0,0,0,1,1,"10.0603621730382",0,0,0,0,0,0,0,0,1
"2015 Fall",0,0,0,0,"0",0,0,40.717,27.323,62.82,2,1,NA,0,0,0,1,0,0,0,0,0,0,1,"0.365992021373934",1,0,0,0,0,0,1,0,1
"2015 Fall",0,0,0,0,"0",0,0,60.035,3.011,97.38,NA,NA,183,0,0,0,0,0,0,0,0,0,0,3,"9.96346728661574",0,1,0,0,0,0,0,0,0
"2015 Fall",0,0,0,0,"0",0,0,50.181,26.117,96.11,2,1,NA,0,0,0,0,0,0,0,0,0,0,1,"0.382892368955087",1,0,0,0,0,1,0,0,1
"2015 Fall",0,0,0,3,"0",0,0,47.46,5.189,95.66,6,12,NA,0,0,0,1,0,1,0,1,1,0,1,"1.92715359414145",1,1,0,0,0,1,0,0,0
"2015 Fall",0,1,0,1,"1",26.5,37.335,49.034,26.451,88.04,11,4,NA,0,0,0,0,1,1,0,1,1,1,1,"0.378057540357642",1,1,0,0,1,0,1,0,1
"2015 Fall",0,1,0,3,"1",28.735,41.158,88.246,33.316,91.12,67,20,NA,1,0,0,0,1,1,0,1,1,1,8,"2.40124864929763",1,0,0,0,1,0,1,0,0
"2015 Fall",0,0,0,0,"0",0,0,88.246,33.316,91.12,67,20,NA,1,0,0,1,0,0,0,0,0,0,8,"2.40124864929763",1,0,1,0,1,0,1,0,0
"2015 Fall",0,0,0,1,"1",18.5,15.015,74.248,23.639,95.05,41,17,NA,0,1,1,0,0,0,0,0,0,1,6,"2.53817843394391",1,0,0,0,1,0,1,0,0
"2015 Fall",0,0,0,0,"1",19.06,21.061,84.662,21.393,92.31,36,17,2257,0,0,0,0,0,0,0,0,0,1,3,"1.40232786425466",0,0,0,0,1,0,1,0,0
"2015 Fall",0,0,0,1,"0",0,0,65.108,12.775,96.17,6,5,1367,1,0,0,0,0,0,0,0,0,0,1,"0.782778864970646",1,1,0,0,0,1,0,0,0
"2015 Fall",0,1,0,3,"1",28.688,39.098,45.802,9.534,97.51,26,27,454,1,1,0,0,1,1,0,0,1,1,3,"3.14663310258024",1,0,0,0,1,0,1,0,0
"2015 Fall",0,1,0,2,"1",27.15,39.709,80.609,49.911,83.8,142,28,2056,1,0,0,1,1,1,0,0,0,1,12,"2.40427961771954",1,0,0,0,0,1,0,0,0
"2015 Fall",0,0,0,2,"0",0,0,68.239,24.933,88.2,107,43,1173,0,0,0,1,0,1,0,0,0,0,9,"3.60967392612201",1,1,0,0,0,1,0,0,0
"2016 Fall",0,0,0,3,"1",17,0,54.126,28.947,90.82,82,28,1442,0,0,1,0,0,0,0,0,1,1,9,"3.10913047984247",1,0,0,0,1,0,0,0,0
"2015 Fall",0,1,0,2,"1",15.01,15.952,47.055,9.502,96.31,10,11,395,0,0,1,1,1,1,0,0,0,1,2,"2.10482003788676",1,0,0,0,0,1,0,0,0
"2015 Fall",0,0,0,1,"0",0,0,85.849,28.475,85.47,67,24,2013,0,0,0,0,0,0,0,0,0,0,7,"2.45829675153644",1,0,0,0,0,0,0,0,0
"2015 Fall",0,0,0,1,"0",0,0,55.19,20.368,83.46,28,14,768,0,0,0,0,0,0,0,0,1,0,5,"2.4548311076198",1,0,0,0,1,0,1,0,0
"2015 Fall",0,0,0,1,"0",0,0,78.919,35.273,93.43,89,25,NA,0,0,0,0,0,0,0,0,0,0,7,"1.98452073824171",1,0,0,0,0,1,0,0,0
"2016 Fall",1,0,0,0,"0",0,0,47.119,17.51,81.32,38,22,NA,0,1,0,1,0,0,0,0,0,0,2,"1.14220445459737",0,0,0,1,0,1,0,0,0
"2015 Fall",0,0,0,0,"0",0,0,43.127,56.467,47.14,37,7,NA,0,0,1,1,0,0,0,0,0,1,8,"1.41675668974799",0,0,0,0,1,0,1,0,0
"2015 Fall",0,1,0,3,"0",0,0,61.465,15.405,79.56,61,40,NA,1,0,1,0,1,1,0,1,1,0,1,"0.649139889646219",1,0,0,0,0,0,1,0,0
"2015 Fall",0,1,0,3,"1",22,16.328,70.106,38.611,92.19,74,19,2257,1,0,1,0,1,1,0,0,0,1,6,"1.55396130636347",1,0,0,0,0,0,1,0,0
"2015 Fall",0,0,0,2,"1",21.25,27.105,61.448,39.628,81.98,139,35,NA,1,0,0,1,0,0,0,0,0,1,5,"1.26173412738468",0,0,0,0,0,1,0,0,0
"2015 Fall",0,1,0,4,"1",14.5,0,108.128,26.181,84.83,117,45,2147,0,1,1,1,1,1,0,1,1,1,3,"1.14586914174401",1,0,0,1,0,1,0,0,0
"2015 Fall",0,1,0,6,"1",20,0,80.609,49.911,83.8,142,28,2056,1,1,0,0,1,1,0,1,1,1,12,"2.40427961771954",1,0,0,0,1,0,1,0,0
"2016 Fall",0,0,0,3,"1",22.5,13.67,80.609,49.911,83.8,142,28,2056,0,1,1,0,0,0,0,1,1,1,17,"3.40606279176935",1,0,0,0,1,0,1,0,0
"2016 Fall",1,0,0,0,"0",0,0,91.259,43.051,82.76,120,28,1715,0,0,0,0,0,0,0,0,1,0,6,"1.3936958491092",0,1,0,0,0,1,0,0,0
"2016 Fall",0,1,1,2,"1",25.2,34.198,79.66,25.78,87.02,105,41,1671,0,0,0,0,1,1,0,0,0,1,6,"2.32738557020946",1,0,0,0,0,1,0,0,0
"2015 Fall",0,0,0,2,"0",0,0,79.66,25.78,87.02,105,41,1671,0,1,0,1,0,0,0,0,0,0,6,"2.32738557020946",1,1,0,0,0,1,0,0,0
"2015 Fall",0,0,0,2,"0",0,0,88.271,17.224,88.45,65,38,1149,0,0,0,0,0,0,0,1,1,0,2,"1.1611704598235",0,0,0,0,0,1,0,0,0
