"Final.Status","ID","Year","ACT","GPA","Royal15","Distance.Mhd","Zip.Median.Income","Zip.Population","Zip.Pct.White","Zip.Alumni.Density","Music.Interest","Athletic.Interest","Legacy.Relationship","Gender.Indicator","Ethnicity.Indicator","Lutheran.Indicator","Religious.Indicator","ACT.High","ACT.Low","GPA.High","GPA.Low","Distance.High","Distance.Low"
0,"App ID-75797","2014 Fall",31,4,0,3.65,66172,31429,0.9349,0.0193,0,1,0,0,0,1,1,1,0,1,0,0,1
0,"App ID-75798","2014 Fall",29,4,0,3.65,66172,31429,0.9349,0.0193,0,0,0,0,0,0,0,0,0,1,0,0,1
1,"App ID-75799","2014 Fall",34,4,0,3.65,66172,31429,0.9349,0.0193,0,0,0,1,0,1,1,1,0,1,0,0,1
1,"App ID-75800","2014 Fall",27,3.72,0,2.52,42616,48506,0.8627,0.0107,0,1,0,0,0,0,1,0,0,0,0,0,1
1,"App ID-75801","2014 Fall",22,3.33,0,3.65,66172,31429,0.9349,0.0193,1,1,0,0,0,0,0,0,1,0,0,0,1
0,"App ID-75802","2014 Fall",25,3.8,0,2.52,42616,48506,0.8627,0.0107,1,0,0,0,0,1,1,0,0,0,0,0,1
0,"App ID-75803","2014 Fall",23,3.75,0,3.65,66172,31429,0.9349,0.0193,1,0,0,0,0,0,1,0,1,0,0,0,1
0,"App ID-75804","2014 Fall",32,3.91,0,3.65,66172,31429,0.9349,0.0193,0,0,0,1,0,0,0,1,0,1,0,0,1
1,"App ID-75805","2014 Fall",27,3.94,0,2.52,42616,48506,0.8627,0.0107,0,0,0,1,0,0,1,0,0,1,0,0,1
1,"App ID-75806","2014 Fall",26,3.99,0,10.18,89458,3858,0.987,0.014,0,0,0,0,0,1,1,0,0,1,0,0,1
0,"App ID-75807","2014 Fall",29,3.98,0,2.52,42616,48506,0.8627,0.0107,1,0,0,0,0,0,0,0,0,1,0,0,1
1,"App ID-75808","2014 Fall",28,3.96,0,3.12,45753,4104,0.9423,0.0141,1,0,0,0,0,1,1,0,0,1,0,0,1
1,"App ID-75809","2014 Fall",26,3.98,0,2.66,41554,31233,0.8977,0.0116,0,1,0,0,0,1,1,0,0,1,0,0,1
1,"App ID-75810","2014 Fall",31,3.99,0,3.65,66172,31429,0.9349,0.0193,0,0,0,0,0,1,1,1,0,1,0,0,1
1,"App ID-75811","2014 Fall",31,4,0,6.17,69383,28728,0.9095,0.0108,1,1,0,1,0,1,1,1,0,1,0,0,1
1,"App ID-75812","2014 Fall",24,3.69,0,39.62,55219,2441,0.9853,0.0098,1,1,0,0,0,1,1,0,1,0,0,0,1
0,"App ID-75813","2014 Fall",25,3.5,0,2.52,42616,48506,0.8627,0.0107,0,0,0,1,0,0,1,0,0,0,0,0,1
1,"App ID-75814","2014 Fall",31,4,0,144.64,53500,684,0.9386,0.0044,0,0,0,0,0,1,1,1,0,1,0,0,0
0,"App ID-75815","2014 Fall",24,3.68,0,75.06,37353,18098,0.8576,0.0016,0,0,0,0,0,0,1,0,1,0,0,0,0
0,"App ID-75816","2014 Fall",27,3.71,0,73.7,49018,36448,0.906,0.0045,0,0,0,0,0,0,1,0,0,0,0,0,1
1,"App ID-75817","2014 Fall",26,4,0,73.7,49018,36448,0.906,0.0045,1,0,0,0,0,1,1,0,0,1,0,0,1
0,"App ID-75819","2014 Fall",28,3.56,0,73.7,49018,36448,0.906,0.0045,0,0,0,0,0,0,0,0,0,0,0,0,1
0,"App ID-75820","2014 Fall",21,3.8,0,73.7,49018,36448,0.906,0.0045,0,1,0,0,0,1,1,0,1,0,0,0,1
0,"App ID-75821","2014 Fall",30,4,0,73.7,49018,36448,0.906,0.0045,1,0,0,0,0,0,1,1,0,1,0,0,1
0,"App ID-75822","2014 Fall",27,3.72,0,73.7,49018,36448,0.906,0.0045,0,0,0,1,0,0,1,0,0,0,0,0,1
1,"App ID-75823","2014 Fall",26,3.8,0,0.64,53139,41737,0.9084,0.0228,0,0,0,1,0,1,1,0,0,0,0,0,1
0,"App ID-75824","2014 Fall",32,3.77,0,230.44,74441,3657,0.9467,8e-04,1,0,0,1,0,0,1,1,0,0,0,0,0
1,"App ID-75825","2014 Fall",28,3.78,0,230.44,74441,3657,0.9467,8e-04,0,1,0,1,0,1,1,0,0,0,0,0,0
0,"App ID-75826","2014 Fall",27,4,0,91.71,49515,17287,0.9498,0.0027,1,0,0,0,0,1,1,0,0,1,0,0,0
0,"App ID-75827","2014 Fall",20,4,0,91.71,49515,17287,0.9498,0.0027,0,0,0,0,0,0,0,0,1,1,0,0,0
0,"App ID-75829","2014 Fall",25,3.98,0,18.85,82386,1355,0.983,0.0192,0,0,0,1,0,0,1,0,0,1,0,0,1
0,"App ID-75830","2014 Fall",23,4,0,18.85,82386,1355,0.983,0.0192,1,1,0,0,0,0,1,0,1,1,0,0,1
0,"App ID-75831","2014 Fall",23,3.76,0,80.45,54038,1261,0.9905,0.0016,0,0,0,0,0,1,1,0,1,0,0,0,0
0,"App ID-75832","2014 Fall",25,3.98,0,150.96,64375,2537,0.9645,0.0024,0,1,0,0,0,1,1,0,0,1,0,0,0
1,"App ID-75833","2014 Fall",30,3.68,0,194.95,59908,23664,0.9264,0.0019,1,0,0,1,0,1,1,1,0,0,0,0,0
1,"App ID-75834","2014 Fall",26,3.49,0,194.95,59908,23664,0.9264,0.0019,1,1,1,1,0,0,0,0,0,0,0,0,0
