"zip","distance"
"56725","96.13"
"56750","74.03"
"56761","131.05"
"58433","98.58"
"56437","92.87"
"57212","173.43"
"54487","349.72"
"57043","238.6"
"75146","986.21"
"59201","419.5"
"47715","773.93"
"60477","574.28"
"55360","194.39"
"50401","309.84"
"57274","111.67"
"4079",NA
"55416","210.83"
"56353","167.08"
"60187","548.82"
"56381","104.45"
"55904","287.88"
"4071",NA
"55358","173.58"
"38058","866.23"
"98382","1226.36"
"66618","536.05"
"55037","191.06"
"55072","192.1"
"49802","420.5"
"54893","223.25"
"59804","821.19"
"60031","532.9"
"56387","151.66"
"57330","255.93"
"57375","242.52"
"98329","1214.02"
"55084","220.22"
"57029","244.84"
"31069","1208.47"
"55070","191.69"
"80903","687.5"
"55421","209.62"
"50263","390.34"
"55088","230.31"
"56212","118.62"
"56279","137.04"
"55721","150.17"
"80113","645.94"
"20901","1131.49"
"33759","1509.01"
"98501","1225.22"
"22153","1132.42"
"85258","1211.73"
"97068","1237.64"
"94544","1432.83"
"99669","2329.94"
"59528","644.76"
"95815","1367.59"
"55408","212.91"
"60025","550.29"
"48316","729.77"
"59041","590.74"
"60193","542.6"
"53207","509.38"
"52806","475.52"
"59022","517.52"
"59072","558.97"
"68649","372.88"
"56323","99.13"
"56713","101.49"
"56338","149.68"
"60202","557.34"
"736",NA
"10704","1205.94"
"59847","817.8"
"59412","664.35"
"58270","115.49"
"33069","1688.41"
"54729","291.77"
"9705",NA
"55430","207.37"
"59828","821.15"
"46224","717.2"
"56276","108.32"
"59625","721.95"
"54017","235.76"
"41017","817.85"
"56010","241.17"
"51027","269.3"
"36069","1158.43"
"56577","42.85"
"57745","387.11"
"55454","213.89"
"58046","52.71"
"80121","647.64"
"91360","1443.91"
"78260","1188.1"
"78726","1136.6"
"56714","140.08"
"57783","379.53"
"58051","18.85"
"53224","496.21"
"59820","834.89"
"80621","616.05"
"54742","299.15"
"55767","191.36"
"55927","271.58"
"59474","708.25"
"60629","568.01"
"80916","685.85"
"58405","91.23"
"98022","1166.78"
"49686","556.29"
"85755",NA
"56319","93.29"
"30311","1111.59"
"57005","226.36"
"60014","523.56"
"80130","650.29"
"32839","1515.19"
"60651","561.2"
"73025",NA
"59842","874.01"
"56382","119.86"
"98112","1192.31"
"98144","1192.93"
"98230","1205"
"54837","219.67"
"98047","1193.4"
"80915","683.08"
"56037","236.57"
"80919","682.85"
"20735","1146.38"
"97322","1270.39"
"59922","817.45"
"55001","232.9"
"56449","128.73"
"52403","421.95"
"80007","641.98"
"48843","693.58"
"96797","3803.07"
"58530","214.08"
"95621","1358.29"
"22031","1127.06"
"56630","123.09"
"80005","640.31"
"80751","536.47"
"53218","500.1"
"55071","228.47"
"56045","275.34"
"60502",NA
"58027","43.02"
"60302","559.47"
"56655","123.42"
"55079","207.08"
"53206","504.05"
"56361","83.88"
"58240","62.71"
"56115","186.54"
"58544","168.51"
"57197","230.69"
"92377","1387.09"
"56650","130.61"
"14467","969.34"
"59015","578.34"
"56455","134.6"
"10017","1206.24"
"59327","472.26"
"4103",NA
"56757","110.9"
"56563","0.47"
"56170","188.33"
"60090","543.26"
"10573","1211.49"
"56256","130.72"
"55722","159.69"
"58575","198.84"
"58105","3.61"
"59044","577.86"
"54864","234.85"
"56218","144.14"
"56219","83.77"
"34239","1555.87"
"65340","564.37"
"60827","577.28"
"55336","191.5"
"90066","1436.01"
"92154","1451.3"
"87112","956.47"
"68137","391.88"
"22213","1129.61"
"58428","141.75"
"92624","1431.57"
"30096","1105.66"
"1085",NA
"46307","598.13"
"58223","48.06"
"68506","419.5"
"44287","835.1"
"56232","137.28"
"80223","644.42"
"79119","857.28"
"53142","526.44"
"58781","217.85"
"98106","1195.91"
"56562","0"
"33025","1699.89"
"10703","1203.94"
"55384","200.96"
"28036","1135.71"
"67213","635.52"
"33150","1710.43"
"53037","485.01"
"59917","856.18"
"99518","2289.42"
"54020","221.82"
"68925","451.27"
"85045","1234.02"
"56074","217.6"
"92780","1424.2"
"55706","232.56"
"56293","184.97"
"59065","672.16"
"53954","428.91"
"56545","44.03"
"53208","503.75"
"58843","320.96"
"68340","466.85"
"56048","240.47"
"31206","1190.34"
"55102","220.01"
"56621","78.6"
"10701","1204.48"
"54891","277.72"
"60013","527.48"
"60458","564.56"
"55718","203.09"
"54627","324.04"
"54452","358.08"
"98178","1191.53"
"57007","176.5"
"59420","668.37"
"57701","366.47"
"58220","138.19"
"58257","51.14"
"64744","636.24"
"51249","243.91"
"55405","211.15"
"80841","678.71"
"21409","NA"
"11704","1235.61"
"48169","698.47"
"22182","1123.96"
"81122","861.72"
"55409","213.85"
"48048","739.07"
"33054","1704.91"
"57769","368.24"
"58036","20.46"
"99645","2264.95"
"55352","213.55"
"33312","1696.46"
"98107","1196.17"
"77479","1195.11"
"33543","1506.24"
"85266","1217.36"
"98166","1196.58"
"99507","2287.65"
"85203","1215.87"
"56342","162.06"
"54011","253.1"
"57249","175.17"
"2139","NA"
"60007","546.2"
"95831","1375.85"
"58005","20.24"
"55370","194.88"
"56676","98.93"
"38116","888.45"
"38141","892.45"
"38109","886.58"
"93436","1488.49"
"8822","NA"
"48034","726.32"
"34480","1457.55"
"56176","236.07"
"55934","295.31"
"30016","1138.97"
"56343","86.71"
"56502","43.54"
"56556","67.46"
"92101","1449.53"
"81101","797.16"
"98168","1193.74"
"54026","233.21"
"51301","268.62"
"30066","1092.25"
"58241","130.96"
"58006","26.5"
"58480","70.1"
"18911","1159.95"
"54768","309.03"
"58366","189.72"
"56550","27.52"
"56441","135.48"
"56180","191.01"
"80911","688.9"
"11552","1223.21"
"54848","287.68"
"57325","244.96"
"35749","979.92"
"33178","1706.1"
"36605","1212.66"
"27523","1202.82"
"42001","793.71"
"32952","1545.62"
"82001","560.68"
"48221","734.16"
"76117","971.2"
"1824","NA"
"98102","1193.65"
"60586","NA"
"58106","2.9"
"54843","258.8"
"54614","347.3"
"80111","645.33"
"44118","837.32"
"77450","1183.02"
"78602","1157.23"
"56081","224.13"
"55960","277.78"
"59937","823.37"
"50069","391.69"
"58324","159.46"
"64063","561.81"
"53051","493.66"
"10473","1209.37"
"52057","398.8"
"45240","807.5"
"94542","1430.94"
"32778","1486.44"
"40272","820.84"
"68901","440.85"
"46616","629.19"
"92694","1426.98"
"92557","1390.57"
"56340","135.79"
"55604","306.37"
"53018","485.07"
"58521","188.13"
"2126","NA"
"9012","NA"
"60153","558.03"
"55321","174.49"
"53575","451.08"
"50701","371.67"
"36728","1124.62"
"54660","362.44"
"19709","1172.19"
"20723","1133.38"
"54401","365.67"
"44622","877.36"
"80218","641.43"
"78059","1225.7"
"60480","564.03"
"58040","61.26"
"85331","1199.57"
"98327","1213.57"
"54853","223.53"
"59353","350.07"
"68845","437.82"
"56136","163.7"
"68736","286.48"
"53716","448.29"
"77382","1151.61"
"38139","889.96"
"33161","1708.69"
"56150","233.54"
"56039","248.02"
"53181","513.7"
"58762","233.68"
"95828","1370.2"
"95712","1325.17"
"57385","205.37"
"56118","220.27"
"58367","191.22"
"53209","501.47"
"48166","744.06"
"52405","418.83"
"89074","1201.78"
"59038","498.04"
"51039","303.91"
"5457","NA"
"68526","423.09"
"59422","722.29"
"10520","1195.22"
"53225","498.02"
"92707","1427.46"
"80526","602.6"
"55363","184.7"
"98023","1198.38"
"98660","1234.36"
"56646","83.45"
"56652","84.27"
"59644","698.73"
"55332","187.32"
"58790","211.28"
"58640","283.63"
"93551","1397.04"
"52577","435.37"
"46635","630.33"
"27526","1210.63"
"68123","398.59"
"20706","1140.42"
"56110","226.62"
"38701","976.94"
"56733","122.72"
"56101","221.43"
"57451","145.86"
"56735","141.56"
"57445","116.55"
"64138","556.95"
"74361","733.21"
"89110","1194.69"
"38018","887.14"
"56760","96"
"56357","162.33"
"29360","1146.9"
"63033","646.17"
"55373","190.01"
"57058","218.67"
"58552","169.56"
"92345","1372.34"
"10603","1205.67"
"69361","484.23"
"54001","236.82"
"49780","579.45"
"56535","65.96"
"90630","1428.72"
"58251","82.79"
"57004","261.69"
"15681","967.3"
"53221","508.55"
"56088","237.97"
"68527","415.84"
"58492","82.6"
"59443","706.18"
"53212","505.31"
"56754","81.68"
"46077","708.99"
"60558","559.53"
"55395","184.88"
"19146","1178.53"
"56237","168.1"
"56723","64.74"
"55046","231.61"
"80015","641.69"
"38112","882.07"
"11530","1222.34"
"98118","1192.17"
"98104","1194.08"
"19355","1158.73"
"55955","273.58"
"56443","113.91"
"55052","242.59"
"56223","150.1"
"85361","1222.9"
"59263","422.61"
"56311","79.11"
"56069","227.09"
"98406","1205.59"
"98011","1186.62"
"99019","950.83"
"72450","812.73"
"59313","357.57"
"1545","NA"
"18346","1128.14"
"68730","286.85"
"80021","637.64"
"53045","495.32"
"34654","1491.54"
"57730","394.4"
"55342","176.45"
"11550","1224.27"
"10466","1207.62"
"37015","883.98"
"50317","396.51"
