"Application ID","Award Status","Comprehensive Cost","Total Gift","Total Institutional Gift","Gross Need"
"App ID-129459","Award Complete","41484.00","16000.00","16000.00","0.00"
"App ID-129150","Award Complete","41484.00","22500.00","22500.00","25695.00"
"App ID-127249","Award Complete","41484.00","13500.00","13500.00","9564.00"
"App ID-127224","Award Complete","41484.00","18844.00","8100.00","35648.00"
"App ID-128328","Award Complete","41484.00","21740.00","21740.00","35068.00"
"App ID-75916","Award Complete","41484.00","32870.00","29390.00","41620.00"
"App ID-128953","Award Complete","41484.00","20690.00","20690.00","22996.00"
"App ID-129106","Award Complete","41484.00","13500.00","13500.00","0.00"
"App ID-75542","Award Complete","41484.00","14500.00","14500.00","16056.00"
"App ID-75266","Award Complete","41484.00","17500.00","17500.00","9853.00"
"App ID-75087","Award Complete","41484.00","17500.00","17500.00","13574.00"
"App ID-75218","Award Complete","41484.00","33510.00","33510.00","30164.00"
"App ID-75335","Award Complete","41484.00","13500.00","13500.00","523.00"
"App ID-75189","Award Complete","41484.00","31004.00","20260.00","41242.00"
"App ID-75449","Award Complete","41484.00","28500.00","28500.00","0.00"
"App ID-75226","Award Complete","41484.00","13500.00","13500.00","0.00"
"App ID-75368","Award Complete","41484.00","17500.00","17500.00","2537.00"
"App ID-75414","Award Complete","41484.00","26946.00","18200.00","38367.00"
"App ID-75096","No Award","41484.00","0.00","","38303.00"
"App ID-75239","Award Complete","41484.00","28500.00","28500.00","0.00"
"App ID-75340","Award Complete","41484.00","26266.00","20290.00","39438.00"
"App ID-75658","Award Complete","41484.00","19200.00","19200.00","24946.00"
"App ID-75336","No Award","41484.00","0.00","","44474.00"
"App ID-75369","Award Complete","41484.00","20000.00","20000.00","18629.00"
"App ID-75089","Award Complete","41484.00","19000.00","19000.00","0.00"
"App ID-75463","Award Complete","41484.00","10954.00","6780.00","37417.00"
"App ID-75294","Award Complete","41484.00","19000.00","19000.00","17397.00"
"App ID-75126","Award Complete","41484.00","26550.00","22340.00","36752.00"
"App ID-75243","Award Complete","41484.00","37890.00","32700.00","40563.00"
"App ID-75553","Award Complete","41484.00","29396.00","21150.00","42313.00"
"App ID-75521","Award Complete","41484.00","38290.00","32820.00","41159.00"
