"zip","distance","Median.Income","Total","White","Pct.White","Alumni.Pop","Alumni.Density"
"",NA,NA,NA,NA,NA,4,NA
"01060",NA,53427,15348,13049,0.8502,NA,NA
"01062",NA,64727,10830,9549,0.8817,NA,NA
"01063",NA,NA,612,459,0.75,NA,NA
"01066",NA,NA,10,10,1,NA,NA
"01068",NA,80577,1791,1777,0.9922,NA,NA
"01069",NA,54412,8982,8893,0.9901,NA,NA
"01070",NA,57031,580,537,0.9259,NA,NA
"01071",NA,74688,1361,1291,0.9486,NA,NA
"01072",NA,68203,1482,1373,0.9265,NA,NA
"01073",NA,68693,5958,5805,0.9743,NA,NA
"01074",NA,58140,301,301,1,NA,NA
"01075",NA,62408,17832,16255,0.9116,NA,NA
"01077",NA,81967,9599,9279,0.9667,NA,NA
"01079",NA,43654,542,542,1,NA,NA
"01080",NA,42794,2176,2085,0.9582,NA,NA
"01081",NA,52768,1807,1779,0.9845,NA,NA
"01082",NA,52709,10394,10062,0.9681,NA,NA
"01083",NA,37126,3108,3095,0.9958,NA,NA
"01084",NA,49886,211,211,1,NA,NA
"01085",NA,61211,41121,37037,0.9007,NA,NA
"01086",NA,NA,1038,919,0.8854,NA,NA
"01088",NA,41875,446,413,0.926,NA,NA
"01089",NA,52806,28554,24280,0.8503,NA,NA
"01092",NA,48679,1078,1077,0.9991,NA,NA
"01093",NA,82222,282,279,0.9894,NA,NA
"01094",NA,19028,310,310,1,NA,NA
"01095",NA,86908,14436,13755,0.9528,NA,NA
"01096",NA,70438,2522,2472,0.9802,NA,NA
"01097",NA,40556,36,36,1,NA,NA
"01098",NA,71500,1095,1053,0.9616,NA,NA
"01103",NA,13666,2472,1563,0.6323,NA,NA
"01104",NA,29184,22285,12933,0.5803,NA,NA
"01105",NA,17657,12054,4063,0.3371,NA,NA
"01106",NA,106296,16077,14697,0.9142,NA,NA
"01107",NA,22287,11706,5419,0.4629,NA,NA
"01108",NA,35238,26670,14831,0.5561,NA,NA
"01109",NA,32644,30987,10276,0.3316,NA,NA
"01118",NA,65231,14192,11232,0.7914,NA,NA
"01119",NA,47417,13942,8848,0.6346,NA,NA
"01128",NA,74963,2568,2084,0.8115,NA,NA
"01129",NA,62280,7160,5147,0.7189,NA,NA
"01151",NA,34280,9581,6423,0.6704,NA,NA
"01199",NA,NA,0,0,NA,NA,NA
"01201",NA,44120,45557,40052,0.8792,NA,NA
"01220",NA,41950,8536,8254,0.967,NA,NA
"01222",NA,78080,811,784,0.9667,NA,NA
"01223",NA,65033,2336,2273,0.973,NA,NA
"01224",NA,37112,242,140,0.5785,NA,NA
"01225",NA,58007,3057,3027,0.9902,NA,NA
"01226",NA,48320,6944,6795,0.9785,NA,NA
"01229",NA,34250,131,131,1,NA,NA
"01230",NA,53180,8148,7053,0.8656,NA,NA
"01235",NA,64507,2904,2794,0.9621,NA,NA
"01236",NA,62917,1574,1413,0.8977,NA,NA
"01237",NA,76346,2735,2716,0.9931,NA,NA
"01238",NA,61492,6245,5955,0.9536,NA,NA
"01240",NA,51396,4823,4585,0.9507,NA,NA
"01242",NA,55333,192,191,0.9948,NA,NA
"01243",NA,73750,383,361,0.9426,NA,NA
"01244",NA,27639,149,143,0.9597,NA,NA
"01245",NA,53833,807,775,0.9603,NA,NA
"01247",NA,39636,15859,15054,0.9492,NA,NA
"01253",NA,66250,683,672,0.9839,NA,NA
"01254",NA,83750,1043,1002,0.9607,NA,NA
"01255",NA,56250,896,818,0.9129,NA,NA
"01256",NA,57222,703,663,0.9431,NA,NA
"01257",NA,46917,2140,2070,0.9673,NA,NA
"01258",NA,64250,334,322,0.9641,NA,NA
"01259",NA,61500,540,514,0.9519,NA,NA
"01260",NA,47250,246,246,1,NA,NA
"01262",NA,47250,1337,1181,0.8833,NA,NA
"01264",NA,90625,156,156,1,NA,NA
"01266",NA,78333,1491,1420,0.9524,NA,NA
"01267",NA,74167,7906,6931,0.8767,NA,NA
"01270",NA,69444,766,748,0.9765,NA,NA
"01301",NA,48612,17731,16477,0.9293,NA,NA
"01330",NA,77411,1596,1543,0.9668,NA,NA
"01331",NA,51002,13264,12538,0.9453,NA,NA
"01337",NA,62037,2576,2484,0.9643,NA,NA
"01338",NA,71691,209,209,1,NA,NA
"01339",NA,51908,1514,1477,0.9756,NA,NA
"01340",NA,46210,1686,1589,0.9425,NA,NA
"01341",NA,79286,1583,1529,0.9659,NA,NA
"01342",NA,101863,1577,1358,0.8611,NA,NA
"01343",NA,81667,72,72,1,NA,NA
"01344",NA,59722,1557,1462,0.939,NA,NA
"01346",NA,58906,466,448,0.9614,NA,NA
"01347",NA,38000,128,123,0.9609,NA,NA
"01349",NA,54727,888,831,0.9358,NA,NA
"01350",NA,32083,118,116,0.9831,NA,NA
"01351",NA,71587,2167,2034,0.9386,NA,NA
"01354",NA,75776,1573,1496,0.951,NA,NA
"01355",NA,75000,981,963,0.9817,NA,NA
"01360",NA,60721,3031,2928,0.966,NA,NA
"01364",NA,41994,7932,7665,0.9663,NA,NA
"01366",NA,72917,1355,1305,0.9631,NA,NA
"01367",NA,49792,569,550,0.9666,NA,NA
"01368",NA,60568,1230,1199,0.9748,NA,NA
"01370",NA,53300,4143,4062,0.9804,NA,NA
"01373",NA,67465,4406,4254,0.9655,NA,NA
"01375",NA,50417,3683,3168,0.8602,NA,NA
"01376",NA,41250,5511,5013,0.9096,NA,NA
"01378",NA,55278,690,676,0.9797,NA,NA
"01379",NA,38750,873,765,0.8763,NA,NA
"01420",NA,46628,40419,31972,0.791,NA,NA
"01430",NA,85662,6133,5856,0.9548,NA,NA
"01431",NA,83917,3147,3089,0.9816,NA,NA
"01432",NA,66630,7337,6561,0.8942,NA,NA
"01434",NA,97222,1656,1134,0.6848,NA,NA
"01436",NA,70313,3931,3877,0.9863,NA,NA
"01438",NA,61803,464,464,1,NA,NA
"01440",NA,46464,20293,18474,0.9104,NA,NA
"01450",NA,116686,10997,10302,0.9368,NA,NA
"01451",NA,135357,4841,4355,0.8996,NA,NA
"01452",NA,83438,4452,4310,0.9681,NA,NA
"01453",NA,59248,40978,33910,0.8275,NA,NA
"01460",NA,111652,9157,8414,0.9189,NA,NA
"01462",NA,71055,10797,10112,0.9366,NA,NA
"01463",NA,77767,11782,11253,0.9551,NA,NA
"01464",NA,66453,7404,5500,0.7428,NA,NA
"01467",NA,184107,440,409,0.9295,NA,NA
"01468",NA,70455,3682,3682,1,NA,NA
"01469",NA,81024,7328,6965,0.9505,NA,NA
"01473",NA,87273,7361,7215,0.9802,NA,NA
"01474",NA,95587,1855,1784,0.9617,NA,NA
"01475",NA,59332,10466,9624,0.9195,NA,NA
"01501",NA,73105,16136,15375,0.9528,NA,NA
"01503",NA,88681,2917,2813,0.9643,NA,NA
"01504",NA,72699,9055,8454,0.9336,NA,NA
"01505",NA,102422,4399,4146,0.9425,NA,NA
"01506",NA,63889,3396,3274,0.9641,NA,NA
"01507",NA,91287,13126,12790,0.9744,NA,NA
"01510",NA,64867,13675,12097,0.8846,NA,NA
"01515",NA,71020,2263,2173,0.9602,NA,NA
"01516",NA,84390,8624,8415,0.9758,NA,NA
"01518",NA,48676,2418,2418,1,NA,NA
"01519",NA,101205,6573,6006,0.9137,NA,NA
"01520",NA,98979,14724,13890,0.9434,NA,NA
"01521",NA,64868,2491,2389,0.9591,NA,NA
"01522",NA,94531,3038,2906,0.9566,NA,NA
"01523",NA,89808,7847,6798,0.8663,NA,NA
"01524",NA,65225,7103,6951,0.9786,NA,NA
"01525",NA,47238,152,152,1,NA,NA
"01527",NA,71676,13350,12679,0.9497,NA,NA
"01529",NA,88281,3208,3017,0.9405,NA,NA
"01531",NA,81136,1109,1095,0.9874,NA,NA
"01532",NA,107111,14644,12634,0.8627,NA,NA
"01534",NA,82950,6303,6159,0.9772,NA,NA
"01535",NA,58438,4715,4556,0.9663,NA,NA
"01536",NA,72292,7138,6374,0.893,NA,NA
"01537",NA,75183,2392,2215,0.926,NA,NA
"01540",NA,67126,11219,10759,0.959,NA,NA
"01541",NA,114688,3432,3206,0.9341,NA,NA
"01542",NA,76979,1747,1691,0.9679,NA,NA
"01543",NA,91033,8188,7880,0.9624,NA,NA
"01545",NA,97617,35818,27641,0.7717,NA,NA
"01550",NA,42376,16775,12309,0.7338,NA,NA
"01560",NA,78250,4565,3316,0.7264,NA,NA
"01561",NA,19597,155,119,0.7677,NA,NA
"01562",NA,60943,11746,11202,0.9537,NA,NA
"01564",NA,90455,7870,7628,0.9693,NA,NA
"01566",NA,93776,6945,6705,0.9654,NA,NA
"01568",NA,110781,7453,6948,0.9322,NA,NA
"01569",NA,88125,13703,13144,0.9592,NA,NA
"01570",NA,48650,16806,14874,0.885,NA,NA
