"ID","Date.App.Submitted","Date.App.Completed","Date.Deposited","Date.FAFSA.Received","Date.Award.Packaged","Date.CREDO.Invitation.Sent","Date.CREDO.Contract.Received"
"App ID-75571","2013-10-01",NA,NA,NA,NA,NA,NA
"App ID-75572","2013-10-11",NA,"2013-11-25","2014-02-26","2014-03-20",NA,NA
"App ID-75573","2013-10-23",NA,"2014-02-19",NA,NA,NA,NA
"App ID-75574","2013-07-15",NA,NA,"2014-03-12","2014-03-21",NA,NA
"App ID-75575","2013-08-08",NA,NA,NA,NA,NA,NA
"App ID-75576","2013-08-28",NA,"2013-09-24","2014-02-25","2014-03-21","2014-03-10",NA
"App ID-75577","2013-10-22","2013-11-26","2014-04-07","2014-02-19","2014-03-19",NA,NA
"App ID-75578","2013-08-21","2013-12-13",NA,NA,NA,NA,NA
"App ID-75579","2013-07-12",NA,NA,NA,NA,NA,NA
"App ID-75580","2013-03-13",NA,"2014-07-30","2014-03-03","2014-07-28",NA,NA
"App ID-75581","2013-03-13",NA,NA,NA,NA,NA,NA
"App ID-75582","2013-10-22",NA,"2014-03-07","2014-02-18","2014-03-20",NA,NA
"App ID-75583","2013-10-15",NA,NA,"2014-03-04","2014-04-03",NA,NA
"App ID-75584","2013-10-08","2014-03-06","2014-04-01","2014-04-01","2014-04-02",NA,NA
