"school","size"
"Perpich Center for Arts Education",259
"Pierz High School",309
"Pillager High School",200
"Pine City High School",395
"Pine Island High School",333
"Pine River-Backus High School",205
"Pipestone Area High School",287
"Plainview-Elgin-Millville High School",478
"Prairie Seeds Academy",137
"Princeton High School",925
"Prior Lake High School",2154
"Proctor High School",500
"Providence Academy",287
"Randolph High School",161
"Red Lake County Central",71
"Red Lake Falls High School",108
"Red Lake High School",175
"Red Rock Central High School",121
"Red Wing High School",809
"Redwood Valley High School",353
"Renville County West High School",132
"Richfield High School",928
"Riverway Learning Community",22
"Robbinsdale Armstrong High School",1789
"Robbinsdale Cooper High School",1468
"Rochester Century High School",1275
"Rochester John Marshall",1391
"Rochester Lourdes High School",460
"Rochester Mayo High School",1506
"Rochester Off-Campus Charter High School",83
"Rockford High School",401
"Rocori High School",742
"Rogers High School",1161
"Roseau High School",374
"Rosemount High School",2013
"Roseville Area High School",1840
"Rothsay High School",59
"Round Lake-Brewster",69
"Royalton High School",183
"Rush City High School",236
"Rushford-Peterson High School",146
"Russell-Tyler-Ruthton High School",153
"Sacred Heart High School",102
"SAGE Academy Charter School",64
"Sartell-Saint Stephen High School",962
"Sauk Centre High School",334
"Sauk Rapids-Rice High School",1078
"Schaeffer Academy",93
"Sebeka High School",146
"Shakopee High School",1736
"Shattuck-Saint Mary's",391
"Sibley East High School",313
"Silver Bay (Wm. Kelley) High School",130
"Simley High School",973
"Sioux Valley Lutheran High School",6
"Sleepy Eye High School",162
"Sleepy Eye Saint Mary's High School",124
"South Ridge High School",107
"South Saint Paul High School",768
"Southland High School",212
"Southwest Christian",163
"Southwest Minnesota Christian",109
"Spectrum High School",222
"Spring Grove High School",86
"Spring Lake Park High School",1135
"Springfield High School",176
"St. Agnes High School",216
"St. Anthony Village High School",609
"St. Charles High School",263
"St. Clair High School",175
"St. Cloud Apollo High School",1031
"St. Cloud Cathedral High School",434
"St. Cloud Christian School",61
"St. Cloud Tech High School",1241
"St. Croix Lutheran High School",411
"St. Croix Preparatory Academy",176
"St. Francis High School",1504
"St. James High School",292
"St. John Vianney Academy",25
"St. John's Prep",223
"St. Louis Park High School",1178
"St. Michael-Albertville H.S.",1314
"St. Paul Academy and Summit School",353
"St. Paul Central High School",1716
"St. Paul Como Park H.S.",1111
"St. Paul Conservatory for Performing Arts",521
"St. Paul Harding High School",1355
"St. Paul Highland Park",1151
"St. Paul Humboldt High School",423
"St. Paul Johnson High School",1123
"St. Paul Preparatory School",163
"St. Paul Washington Technology Magnet",522
"St. Peter High School",492
"St. Thomas Academy",1066
"Staples Motley High School",372
"Stephen-Argyle Central High School",98
"Stewartville High School",484
"Stillwater Area High School",2670
"Swanville High School",97
"Tartan High School",1581
"Thief River Falls High School",550
"Totino-Grace High School",802
"Tracy-Milroy-Balaton High School",221
"TrekNorth High School",95
"Tri-City United High School",290
"Tri-County High School",66
"Trinity School at River Ridge",220
"Triton High School",283
"Truman High School",93
"Twin Cities Academy High School",110
"Two Harbors High School",308
"Ulen-Hitterdal High School",82
"Underwood High School",138
"United South Central High School",210
"Upsala High School",124
"Verndale High School",126
"Virginia High School",460
"Visitation High School",606
"Wabasha-Kellogg High School",208
"Wabasso High School",134
"Waconia High School",996
"Wadena-Deer Creek High School",256
"Walker-Hackensack-Akeley H.S.",207
"Warren-Alvarado-Oslo High School",115
"Warroad High School",318
"Waseca High School",522
"Watertown-Mayer High School",445
"Waterville-Elysian-Morristown H.S.",251
"Waubun High School",119
"Wayzata High School",3060
"West Central Area School",205
"West Lutheran High School",161
"Westbrook-Walnut Grove High School",135
"Wheaton High School",129
"White Bear Lake Area High School",2257
"Willmar High School",994
"Willow River High School",103
"Win-E-Mac High School",122
"Windom Area High School",247
"Winona High School",997
"Woodbury High School",1715
"Worthington High School",563
"Wrenshall High School",86
"Yellow Medicine East H.S.",252
"Zimmerman High School",546
"Zumbrota-Mazeppa High School",339
"Alexander High School",72
"Anamoose High School",84
"Ashley High School",131
"Beach High School",292
"Belcourt High School",1669
"Belfield High School",235
"Berthold High School",268
"Beulah High School",682
"Bismarck High School",10914
"Bottineau High School",610
"Bowbells High School",66
"Bowman High School",389
"Buxton High School",217
"Cando High School",253
"Carrington High School",541
"Casselton High School",818
"Cavalier High School",392
"Center High School",198
"Cooperstown High School",274
"Crosby High School",234
"Devils Lake High School",1742
"Dickinson High School",2625
"Drake High School",79
"Drayton High School",140
"Dunseith High School",445
"Edgeley High School",222
"Edinburg High School",107
"Elgin High School",145
"Ellendale High School",318
"Enderlin High School",312
"Fairmount High School",120
"Fargo High School",10853
"Fessenden High School",135
"Finley High School",152
"Flasher High School",202
"Fordville High School",65
"Forman High School",237
"Fort Totten High School",154
"Fort Yates High School",166
"Gackle High School",82
"Garrison High School",332
"Glen Ullin High School",155
"Glenburn High School",247
"Goodrich High School",26
"Grafton High School",890
"Grand Forks High School",6585
"Grand Forks Afb High School",413
"Granville High School",137
"Grenora High School",80
"Gwinner High School",232
"Halliday High School",64
"Hankinson High School",298
"Harvey High School",402
"Hatton High School",189
"Hazelton High School",133
"Hazen High School",588
"Hebron High School",169
"Hettinger High School",287
"Hillsboro High School",404
"Hunter High School",543
"Inkster High School",226
"Jamestown High School",2185
"Kenmare High School",296
"Kensal High School",46
"Killdeer High School",374
"Kindred High School",576
"Kulm High School",95
"Lakota High School",195
"Lamoure High School",315
"Langdon High School",379
"Larimore High School",460
"Leeds High School",150
"Lidgerwood High School",180
"Lignite High School",83
"Linton High School",312
"Lisbon High School",624
"Maddock High School",170
"Mandan High School",3275
"Mandaree High School",182
"Mapleton High School",89
"Max High School",161
"Mayville High School",527
"Mcclusky High School",99
"Medina High School",160
"Milnor High School",241
"Minnewaukan High School",226
"Minot High School",6270
"Minot Afb High School",805
"Minto High School",215
"Mohall High School",289
"Montpelier High School",100
"Mott High School",235
"Munich High School",86
"Napoleon High School",250
"New England High School",143
"New Rockford High School",328
"New Salem High School",319
"New Town High School",754
"Newburg High School",68
"Northwood High School",236
"Oakes High School",480
"Park River High School",407
"Parshall High School",273
"Pembina High School",65
"Powers Lake High School",93
"Ray High School",192
"Rock Lake High School",36
"Rogers High School",146
"Rolette High School",129
"Rolla High School",240
"Rugby High School",571
"Sawyer High School",132
"Scranton High School",139
"Selfridge High School",62
"South Heart High School",201
"St. John High School",353
"St. Thomas High School",97
"Stanley High School",420
"Starkweather High School",86
"Steele High School",313
"Strasburg High School",140
"Surrey High School",350
"Tappen High School",81
"Thompson High School",407
"Tioga High School",291
"Towner High School",194
"Trenton High School",174
"Turtle Lake High School",161
"Underwood High School",183
"Valley City High School",1087
"Velva High School",378
"Wahpeton High School",1208
"Walhalla High School",304
"Warwick High School",255
"Washburn High School",271
"Watford City High School",544
"West Fargo High School",6335
"Westhope High School",120
"White Shield High School",130
"Williston High School",2500
"Wilton High School",223
"Wimbledon High School",154
"Wing High School",96
"Wishek High School",202
"Wolford High School",50
"Wyndmere High School",211
"Zeeland High School",52
"NA High School",NA
