"Active Application Record","Campus Visit Date/Time","Visit Date","Campus Visit: Record Type"
"App ID-75259","8/22/2013 12:00 AM","8/22/2013","Daily Campus Visit"
"App ID-75259","12/12/2013 6:00 PM","12/12/2013","Christmas Concerts"
"App ID-75259","11/15/2013 8:30 AM","11/15/2013","Presidential Distinction Scholarship"
"App ID-75260","3/22/2014 10:00 AM","3/22/2014","Cobber Celebration"
"App ID-75260","2/14/2014 5:45 PM","2/14/2014","Theatre Peformance Scholarship"
"App ID-75262","1/17/2014 1:30 PM","1/17/2014","Presidential Distinction Scholarship"
"App ID-75262","3/22/2014 10:00 AM","3/22/2014","Cobber Celebration"
"App ID-75262","11/4/2013 8:30 AM","11/4/2013","Daily Campus Visit"
"App ID-75262","7/29/2013 12:00 AM","7/29/2013","Daily Campus Visit"
"App ID-75264","3/14/2013 12:00 AM","3/14/2013","Daily Campus Visit"
"App ID-75265","9/14/2013 12:00 AM","9/14/2013","Daily Campus Visit"
"App ID-75265","4/5/2014 10:00 AM","4/5/2014","Daily Campus Visit"
"App ID-75266","1/31/2014 1:30 PM","1/31/2014","Regents Scholarship Event"
"App ID-75267","8/12/2013 12:00 AM","8/12/2013","Visit Day: August Visit Day"
"App ID-75269","8/12/2013 12:00 AM","8/12/2013","Visit Day: August Visit Day"
"App ID-75269","1/23/2014 3:00 PM","1/23/2014","Music Performance Scholarship"
"App ID-75269","11/15/2013 8:30 AM","11/15/2013","Presidential Distinction Scholarship"
"App ID-75269","12/12/2013 8:30 PM","12/12/2013","Christmas Concerts"
"App ID-75270","9/9/2013 12:00 AM","9/9/2013","Daily Campus Visit"
"App ID-75270","3/3/2014 9:00 AM","3/3/2014","Daily Campus Visit"
"App ID-75271","6/28/2013 12:00 AM","6/28/2013","MPCW"
"App ID-75271","1/13/2014 1:30 PM","1/13/2014","Daily Campus Visit"
"App ID-75273","10/17/2013 12:00 AM","10/17/2013","EDMN/NDEA"
"App ID-75273","3/22/2014 10:00 AM","3/22/2014","Cobber Celebration"
"App ID-75274","10/18/2013 12:00 AM","10/18/2013","EDMN/NDEA"
"App ID-75274","11/27/2013 8:30 AM","11/27/2013","Daily Campus Visit"
"App ID-75275","10/18/2013 12:00 AM","10/18/2013","EDMN/NDEA"
"App ID-75276","10/17/2013 12:00 AM","10/17/2013","EDMN/NDEA"
"App ID-75276","7/1/2013 12:00 AM","7/1/2013","Daily Campus Visit"
"App ID-75276","6/5/2013 12:00 AM","6/5/2013","Daily Campus Visit"
"App ID-75278","8/12/2013 12:00 AM","8/12/2013","Visit Day: August Visit Day"
"App ID-75278","1/23/2014 3:00 PM","1/23/2014","Music Performance Scholarship"
"App ID-75279","10/16/2013 12:00 AM","10/16/2013","Daily Campus Visit"
"App ID-75279","1/23/2014 3:00 PM","1/23/2014","Music Performance Scholarship"
"App ID-75279","3/22/2014 11:15 AM","3/22/2014","Cobber Celebration"
"App ID-75279","4/5/2013 12:00 AM","4/5/2013","Daily Campus Visit"
"App ID-75280","8/28/2013 12:00 AM","8/28/2013","Daily Campus Visit"
"App ID-75280","12/12/2013 8:30 PM","12/12/2013","Christmas Concerts"
"App ID-75280","11/4/2013 8:30 AM","11/4/2013","Road Trip"
"App ID-75281","6/28/2013 12:00 AM","6/28/2013","MPCW"
"App ID-75282","9/7/2013 12:00 AM","9/7/2013","Daily Campus Visit"
"App ID-75282","8/6/2013 12:00 AM","8/6/2013","Daily Campus Visit"
"App ID-75283","2/18/2013 12:00 AM","2/18/2013","Visit Day: Presidents' Day"
"App ID-75283","9/17/2013 12:00 AM","9/17/2013","Daily Campus Visit"
"App ID-75284","2/7/2014 11:30 AM","2/7/2014","Music Performance Scholarship"
"App ID-75284","8/12/2013 12:00 AM","8/12/2013","Visit Day: August Visit Day"
"App ID-75284","11/15/2013 8:30 AM","11/15/2013","Presidential Distinction Scholarship"
"App ID-75284","3/22/2014 10:00 AM","3/22/2014","Cobber Celebration"
"App ID-75285","8/21/2013 12:00 AM","8/21/2013","Daily Campus Visit"
"App ID-75286","8/12/2013 12:00 AM","8/12/2013","Visit Day: August Visit Day"
"App ID-75287","8/12/2013 12:00 AM","8/12/2013","Visit Day: August Visit Day"
"App ID-75287","11/19/2014 10:30 AM","11/19/2014","Daily Campus Visit"
"App ID-75288","8/29/2013 12:00 AM","8/29/2013","Daily Campus Visit"
"App ID-75288","3/22/2014 10:00 AM","3/22/2014","Cobber Celebration"
"App ID-75289","8/30/2013 12:00 AM","8/30/2013","Daily Campus Visit"
"App ID-75289","8/22/2013 12:00 AM","8/22/2013","Daily Campus Visit"
"App ID-75289","11/15/2013 8:30 AM","11/15/2013","Presidential Distinction Scholarship"
"App ID-75290","2/7/2014 1:30 PM","2/7/2014","Presidential Distinction Scholarship"
"App ID-75290","7/29/2013 12:00 AM","7/29/2013","Daily Campus Visit"
"App ID-75291","3/22/2014 11:15 AM","3/22/2014","Cobber Celebration"
"App ID-75291","7/10/2013 12:00 AM","7/10/2013","Daily Campus Visit"
"App ID-75292","6/28/2013 12:00 AM","6/28/2013","MPCW"
"App ID-75294","1/23/2014 3:00 PM","1/23/2014","Music Performance Scholarship"
"App ID-75294","11/15/2013 8:30 AM","11/15/2013","Presidential Distinction Scholarship"
"App ID-75296","4/11/2013 12:00 AM","4/11/2013","Daily Campus Visit"
"App ID-75298","8/12/2013 12:00 AM","8/12/2013","Visit Day: August Visit Day"
"App ID-75298","2/2/2014 10:45 AM","2/2/2014","Speech and Debate Scholarship"
"App ID-75298","11/15/2013 8:30 AM","11/15/2013","Presidential Distinction Scholarship"
"App ID-75301","2/7/2014 1:30 PM","2/7/2014","Presidential Distinction Scholarship"
"App ID-75301","10/17/2013 12:00 AM","10/17/2013","EDMN/NDEA"
"App ID-75301","1/17/2014 1:30 PM","1/17/2014","Visual Arts Scholarship"
"App ID-75301","3/22/2014 10:00 AM","3/22/2014","Cobber Celebration"
"App ID-75302","2/7/2014 1:30 PM","2/7/2014","Presidential Distinction Scholarship"
"App ID-75302","5/30/2013 12:00 AM","5/30/2013","MPCW"
"App ID-75302","8/7/2013 12:00 AM","8/7/2013","Daily Campus Visit"
"App ID-75303","8/12/2013 12:00 AM","8/12/2013","Visit Day: August Visit Day"
"App ID-75304","10/18/2013 12:00 AM","10/18/2013","EDMN/NDEA"
"App ID-75305","10/2/2013 12:00 AM","10/2/2013","Daily Campus Visit"
"App ID-75306","7/23/2013 12:00 AM","7/23/2013","Daily Campus Visit"
"App ID-75307","1/27/2014 1:30 PM","1/27/2014","Regents Scholarship Event"
"App ID-75307","3/7/2014 10:00 AM","3/7/2014","Daily Campus Visit"
"App ID-75309","10/23/2013 12:00 AM","10/23/2013","Daily Campus Visit"
"App ID-75309","","4/23/2014","Coffee Conversations"
"App ID-75310","2/7/2014 1:30 PM","2/7/2014","Presidential Distinction Scholarship"
"App ID-75311","11/13/2013 2:00 PM","11/13/2013","Daily Campus Visit"
"App ID-75311","12/15/2013 2:00 PM","12/15/2013","Christmas Concerts"
"App ID-75311","3/22/2014 11:15 AM","3/22/2014","Cobber Celebration"
"App ID-75312","8/12/2013 12:00 AM","8/12/2013","Visit Day: August Visit Day"
"App ID-75313","8/21/2013 12:00 AM","8/21/2013","Daily Campus Visit"
"App ID-75314","8/12/2013 12:00 AM","8/12/2013","Visit Day: August Visit Day"
"App ID-75315","8/26/2013 12:00 AM","8/26/2013","Daily Campus Visit"
"App ID-75315","1/23/2014 3:00 PM","1/23/2014","Music Performance Scholarship"
"App ID-75320","3/26/2013 12:00 AM","3/26/2013","Daily Campus Visit"
"App ID-75321","2/7/2014 1:30 PM","2/7/2014","Presidential Distinction Scholarship"
"App ID-75321","3/26/2013 12:00 AM","3/26/2013","Daily Campus Visit"
"App ID-75322","8/12/2013 12:00 AM","8/12/2013","Visit Day: August Visit Day"
"App ID-75322","1/23/2014 3:00 PM","1/23/2014","Music Performance Scholarship"
"App ID-75323","7/17/2013 12:00 AM","7/17/2013","Daily Campus Visit"
"App ID-75324","8/12/2013 12:00 AM","8/12/2013","Visit Day: August Visit Day"
"App ID-75325","1/23/2014 3:00 PM","1/23/2014","Music Performance Scholarship"
"App ID-75325","11/8/2013 9:00 AM","11/8/2013","Daily Campus Visit"
"App ID-75325","12/15/2013 2:00 PM","12/15/2013","Christmas Concerts"
"App ID-75326","12/13/2013 7:00 PM","12/13/2013","Christmas Concerts"
"App ID-75326","11/21/2013 8:30 AM","11/21/2013","Daily Campus Visit"
"App ID-75326","1/23/2014 3:00 PM","1/23/2014","Music Performance Scholarship"
"App ID-75327","10/31/2015 9:00 AM","10/31/2015","BrewU"
"App ID-75327","1/27/2014 1:30 PM","1/27/2014","Regents Scholarship Event"
"App ID-75327","7/12/2013 12:00 AM","7/12/2013","Daily Campus Visit"
"App ID-75328","12/15/2013 2:00 PM","12/15/2013","Christmas Concerts"
"App ID-75328","6/28/2013 12:00 AM","6/28/2013","MPCW"
"App ID-75328","1/23/2014 3:00 PM","1/23/2014","Music Performance Scholarship"
"App ID-75328","2/3/2014 1:30 PM","2/3/2014","Regents Scholarship Event"
"App ID-75328","","3/22/2014","Cobber Celebration"
"App ID-75329","6/22/2015 2:00 PM","6/22/2015","MPCW"
"App ID-75329","3/28/2013 12:00 AM","3/28/2013","Daily Campus Visit"
"App ID-75329","12/14/2013 7:00 PM","12/14/2013","Christmas Concerts"
