"zip","distance","Median.Income","Total","White","Pct.White"
"01521",NA,64868,2491,2389,0.9591
"01522",NA,94531,3038,2906,0.9566
"01523",NA,89808,7847,6798,0.8663
"01524",NA,65225,7103,6951,0.9786
"01525",NA,47238,152,152,1
"01527",NA,71676,13350,12679,0.9497
"01529",NA,88281,3208,3017,0.9405
"01531",NA,81136,1109,1095,0.9874
"01532",NA,107111,14644,12634,0.8627
"01534",NA,82950,6303,6159,0.9772
"01535",NA,58438,4715,4556,0.9663
"01536",NA,72292,7138,6374,0.893
"01537",NA,75183,2392,2215,0.926
"01540",NA,67126,11219,10759,0.959
"01541",NA,114688,3432,3206,0.9341
"01542",NA,76979,1747,1691,0.9679
"01543",NA,91033,8188,7880,0.9624
"01545",NA,97617,35818,27641,0.7717
"01550",NA,42376,16775,12309,0.7338
"01560",NA,78250,4565,3316,0.7264
"01561",NA,19597,155,119,0.7677
"01562",NA,60943,11746,11202,0.9537
"01564",NA,90455,7870,7628,0.9693
"01566",NA,93776,6945,6705,0.9654
"01568",NA,110781,7453,6948,0.9322
"01569",NA,88125,13703,13144,0.9592
"01570",NA,48650,16806,14874,0.885
"01571",NA,68053,11633,10888,0.936
"01581",NA,100552,18481,13642,0.7382
"01583",NA,73474,7687,6833,0.8889
"01585",NA,60521,4705,4472,0.9505
"01588",NA,66591,9569,9017,0.9423
"01590",NA,111788,9014,8839,0.9806
"01602",NA,62888,24228,19311,0.7971
"01603",NA,46367,20380,14735,0.723
"01604",NA,47865,34628,25877,0.7473
"01605",NA,36497,27387,16910,0.6174
"01606",NA,66411,19043,15538,0.8159
"01607",NA,42397,8991,6254,0.6956
"01608",NA,21412,3351,2134,0.6368
"01609",NA,41647,20948,15973,0.7625
"01610",NA,31136,23885,15578,0.6522
"01611",NA,64598,2458,2256,0.9178
"01612",NA,102614,4879,4281,0.8774
"01701",NA,88498,31780,26608,0.8373
"01702",NA,52428,38180,25602,0.6706
"01718",NA,135179,303,206,0.6799
"01719",NA,103996,5102,4008,0.7856
"01720",NA,119342,22197,16925,0.7625
"01721",NA,102721,16985,14684,0.8645
"01730",NA,114676,13709,11536,0.8415
"01731",NA,79063,1893,1596,0.8431
"01740",NA,144461,5019,4843,0.9649
"01741",NA,157500,4967,4356,0.877
"01742",NA,132736,18948,16463,0.8689
